line_name,station_name,town_code
名古屋本線,左京山,23114037000
名古屋本線,豊明,23229001109
名古屋本線,有松,23114086000
名古屋本線,中京競馬場前,23114083001
名古屋本線,一ツ木,23210069005
名古屋本線,富士松,23210014004
名古屋本線,前後,23229001126
名古屋本線,名鉄一宮,23203087001
名古屋本線,黒田,23203239135
名古屋本線,木曽川堤,23203052171
名古屋本線,島氏永,23220410000
名古屋本線,妙興寺,23203216108
名古屋本線,今伊勢,23203028101
名古屋本線,石刀,23203025132
名古屋本線,新木曽川,23203239103
名古屋本線,須ヶ口,23233011000
名古屋本線,神宮前,23109027003
名古屋本線,西枇杷島,23233074001
名古屋本線,呼続,23112172001
名古屋本線,本笠寺,23112133007
名古屋本線,新清洲,23233007000
名古屋本線,鳴海,23114020335
名古屋本線,新川橋,23233017000
名古屋本線,東枇杷島,23104114001
名古屋本線,山王,23110A20000
名古屋本線,堀田,23108046000
名古屋本線,栄生,23104115002
名古屋本線,二ツ杁,23233040000
名古屋本線,名鉄名古屋,23105115001
名古屋本線,金山,23109013001
名古屋本線,本星崎,23112130000
名古屋本線,丸ノ内,23233007000
名古屋本線,桜,23112172004
名古屋本線,大里,23220100116
名古屋本線,奥田,23220089000
名古屋本線,国府宮,23220312001
名古屋本線,豊橋,23201181106
名古屋本線,男川,23202037122
名古屋本線,名電山中,23202192137
名古屋本線,東岡崎,23202206154
名古屋本線,伊奈,23207166134
名古屋本線,名電長沢,23207150109
名古屋本線,御油,23207032150
名古屋本線,岡崎公園前,23202162106
名古屋本線,美合,23202199106
名古屋本線,本宿,23202216102
名古屋本線,藤川,23202184117
名古屋本線,宇頭,23202029140
西名古屋港線,野跡,23111117002
名古屋本線,小田渕,23207014102
名古屋本線,名電赤坂,23207149125
名古屋本線,国府,23207025112
西名古屋港線,名古屋,23105115001
西名古屋港線,荒子,23110044000
西名古屋港線,中島,23110066005
西名古屋港線,名古屋競馬場前,23111046005
西名古屋港線,南荒子,23110142001
西名古屋港線,稲永,23111006000
尾西線,渕高,23232054105
東部丘陵線,杁ヶ池公園,23238009000
天竜浜名湖線,新所原,23201142112
東海道線,新所原,23201142112
中央線,古虎渓,23204077000
飯田線,大嵐,23563006148
飯田線,小和田,23563006152
高山線,鵜沼,23215013128
犬山線,新鵜沼,23215013128
各務原線,新鵜沼,23215013128
高山線,坂祝,23215062101
飯田線,出馬,23562012128
竹鼻線,笠松,23203052123
名古屋本線,笠松,23203052123
竹鼻線,西笠松,23203052110
天竜浜名湖線,アスモ前,23201142112
飯田線,上市場,23562012128
飯田線,浦川,23562008139
各務原線,鵜沼宿,23215013124
飯田線,中部天竜,23563002181
飯田線,下川合,23562008136
飯田線,早瀬,23562008136
飯田線,佐久間,23563002181
