ファイル名,業態,市内外,組み合わせbits,組み合わせID,組み合わせ名,採用媒体数,採用媒体一覧,媒体,Shapley準拠_接触者平均,接触率,接触者数,重み付き貢献度,広告予算配分_推奨(RAW比),広告予算配分_推奨(0%下限正規化%)
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1011,C0011,折込+ポスティング+web,3,"折込,ポスティング,web",ポスティング,-0.044819692,0.242979943,424,-19.00354961,-14.20365646,0
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1011,C0011,折込+ポスティング+web,3,"折込,ポスティング,web",web,1.126095466,0.100859599,176,198.192802,148.1335083,100
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1100,C0012,フリーペーパー+web,2,"フリーペーパー,web",フリーペーパー,0.631885865,0.078510029,137,86.56836345,29.29741231,29.29741231
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1100,C0012,フリーペーパー+web,2,"フリーペーパー,web",web,1.187005102,0.100859599,176,208.9128979,70.70258769,70.70258769
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1101,C0013,折込+フリーペーパー+web,3,"折込,フリーペーパー,web",折込,-0.076341214,0.371346705,648,-49.46910658,-20.51880037,0
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1101,C0013,折込+フリーペーパー+web,3,"折込,フリーペーパー,web",フリーペーパー,0.633673292,0.078510029,137,86.81324106,36.00840375,29.87783121
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1101,C0013,折込+フリーペーパー+web,3,"折込,フリーペーパー,web",web,1.157656122,0.100859599,176,203.7474775,84.51039662,70.12216879
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1110,C0014,ポスティング+フリーペーパー+web,3,"ポスティング,フリーペーパー,web",ポスティング,-0.12410625,0.242979943,424,-52.62104987,-21.50929986,0
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1110,C0014,ポスティング+フリーペーパー+web,3,"ポスティング,フリーペーパー,web",フリーペーパー,0.668005733,0.078510029,137,91.51678542,37.40826123,30.78633592
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1110,C0014,ポスティング+フリーペーパー+web,3,"ポスティング,フリーペーパー,web",web,1.169019959,0.100859599,176,205.7475128,84.10103863,69.21366408
